tipo,nombre,direccion,lat,lon,materiales,horario
Contenedor Verde,SUIPACHA 60,SUIPACHA 60,-34.60765905752662,-58.37929384659083,,
Contenedor Verde,TACUARI 483,TACUARI 483,-34.61390891386161,-58.37907381126439,,
Contenedor Verde,TACUARI 711,TACUARI 711,-34.616498854079,-58.37893379868097,,
Contenedor Verde,TUCUMAN 1679,TUCUMAN 1679,-34.601729249102924,-58.39083340234983,,
Contenedor Verde,URUGUAY 150,URUGUAY 150,-34.607179102926956,-58.386353552325176,,
Contenedor Verde,URUGUAY AV. 484,URUGUAY AV. 484,-34.603149197288225,-58.386853560014806,,
Contenedor Verde,VIAMONTE 1742,VIAMONTE 1742,-34.60083927477067,-58.391933362328814,,
Contenedor Verde,YMA SUMAC 955,YMA SUMAC 955,-34.61844868782959,-58.35395483831735,,
Contenedor Verde,YMA SUMAC 1125,YMA SUMAC 1125,-34.61816868404634,-58.351864928464444,,
Contenedor Verde,YMA SUMAC 1195,YMA SUMAC 1195,-34.61768869310357,-58.35147494833228,,
Contenedor Verde,"YRIGOYEN, HIPOLITO 910","YRIGOYEN, HIPOLITO 910",-34.60962901297551,-58.3793738291597,,
Contenedor Verde,"YRIGOYEN, HIPOLITO 1240","YRIGOYEN, HIPOLITO 1240",-34.60976903247133,-58.384023632080876,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 1126,11 DE SEPTIEMBRE DE 1888 1126,-34.567822610703715,-58.443244895119726,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 1306,11 DE SEPTIEMBRE DE 1888 1306,-34.566140922320464,-58.44486345181919,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 1440,11 DE SEPTIEMBRE DE 1888 1440,-34.56496487481058,-58.445869599516314,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 1590,11 DE SEPTIEMBRE DE 1888 1590,-34.563670768711184,-58.44697674460826,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 2207,11 DE SEPTIEMBRE DE 1888 2207,-34.55765006267757,-58.452116761560404,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 2430,11 DE SEPTIEMBRE DE 1888 2430,-34.55563157872275,-58.45374236599079,,
Contenedor Verde,11 DE SEPTIEMBRE DE 1888 2802,11 DE SEPTIEMBRE DE 1888 2802,-34.55222015347717,-58.45659415614125,,
Contenedor Verde,3 DE FEBRERO 807,3 DE FEBRERO 807,-34.57053025637938,-58.441007716558474,,
Contenedor Verde,3 DE FEBRERO 1201,3 DE FEBRERO 1201,-34.56807993505625,-58.44452150590214,,
Contenedor Verde,3 DE FEBRERO 1535,3 DE FEBRERO 1535,-34.56457392987485,-58.44751080287075,,
Contenedor Verde,3 DE FEBRERO 1731,3 DE FEBRERO 1731,-34.56273656226797,-58.449081858225384,,
Contenedor Verde,3 DE FEBRERO 1981,3 DE FEBRERO 1981,-34.56048492890075,-58.451033679366674,,
Contenedor Verde,3 DE FEBRERO 2339,3 DE FEBRERO 2339,-34.55702939955601,-58.4540135404375,,
Contenedor Verde,3 DE FEBRERO 2463,3 DE FEBRERO 2463,-34.555917152478955,-58.454975115658826,,
Contenedor Verde,3 DE FEBRERO 2775,3 DE FEBRERO 2775,-34.5531641997225,-58.457338814693024,,
Contenedor Verde,3 DE FEBRERO 3005,3 DE FEBRERO 3005,-34.550520843520275,-58.4590555394699,,
Contenedor Verde,3 DE FEBRERO 3182,3 DE FEBRERO 3182,-34.54936336164816,-58.45995833716765,,
Contenedor Verde,3 DE FEBRERO 3225,3 DE FEBRERO 3225,-34.54890604657115,-58.46024139449233,,
Contenedor Verde,3 DE FEBRERO 3351,3 DE FEBRERO 3351,-34.54798779816378,-58.46091564652464,,
Contenedor Verde,3 DE FEBRERO 3803,3 DE FEBRERO 3803,-34.54432460955009,-58.463606744837634,,
Contenedor Verde,3 DE FEBRERO 4087,3 DE FEBRERO 4087,-34.542466632188685,-58.464977183466495,,
Contenedor Verde,3 DE FEBRERO 4207,3 DE FEBRERO 4207,-34.54145424038737,-58.465725462057385,,
Contenedor Verde,ACUÑA DE FIGUEROA 1746,ACUÑA DE FIGUEROA 1746,-34.59088298507339,-58.42042917720263,,
Contenedor Verde,"AGOTE, LUIS DR. 2510","AGOTE, LUIS DR. 2510",-34.584573433126515,-58.394247541478634,,
Contenedor Verde,AGUERO 1316,AGUERO 1316,-34.59422738665892,-58.40886582329767,,
Contenedor Verde,AGUERO 1468,AGUERO 1468,-34.5927176649995,-58.408089518810236,,
Contenedor Verde,AGUERO 1650,AGUERO 1650,-34.59127845083971,-58.40667595081968,,
Contenedor Verde,ALVAREZ THOMAS AV. 140,ALVAREZ THOMAS AV. 140,-34.58238023477894,-58.44633640379585,,
Contenedor Verde,ALVAREZ THOMAS AV. 311,ALVAREZ THOMAS AV. 311,-34.581368317856814,-58.44865045435827,,
Contenedor Verde,ALVAREZ THOMAS AV. 664,ALVAREZ THOMAS AV. 664,-34.58030964329747,-58.45159691476348,,
Contenedor Verde,ALVAREZ THOMAS AV. 920,ALVAREZ THOMAS AV. 920,-34.579164006319175,-58.45516907378198,,
