wkt_geom,direccion,barrio,comuna,mas_info,materiales
Point (104402.73323199999867938 101078.68527000000176486),Maza 689,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103255.95310400000016671 100949.11479700000199955),Mexico 4388,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104128.36267699999734759 102175.33063799999945331),"Mitre, Bartolome 3680",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103643.83080500000505708 102133.94112499999755528),"Mitre, Bartolome 4042",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103335.07251800000085495 102082.83014000000548549),"Mitre, Bartolome 4266",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103123.62923200000659563 102047.20172199999797158),"Mitre, Bartolome 4420",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103602.38387999999395106 102588.40096600000106264),"Peron, Juan Domingo, Tte. General 4075",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103323.6644570000062231 102592.26009900000644848),"Peron, Juan Domingo, Tte. General 4271",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104428.28167199999734294 102462.69368500000564381),"Peron, Juan Domingo, Tte. Gral 3421",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104159.94033199999830686 102493.68933100000140257),"Peron, Juan Domingo, Tte. Gral 3647",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103723.13089400000171736 102445.32122899999376386),Potosi 3993,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103629.29685100000642706 102445.44299999999930151),Potosi 4025,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103193.14259600000514183 102440.63673199999902863),Potosi 4366,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103152.30856799999310169 101962.52893000000040047),Querandies 4403,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103754.38594999999622814 101091.99412200000369921),Quintino Bocayuva 642,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103522.99845299999287818 103336.41641700000036508),Rocamora 4286,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103296.51082399999722838 103336.76530499999353196),Rocamora 4452,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103977.10534599999664351 102406.79637999999977183),"Salguero, Jeronimo 285",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103995.79438399999344256 102060.32132800000545103),"Salguero, Jeronimo 29",Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103557.9348290000052657 101412.91988299999502487),Treinta y Tres Orientales 247,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103583.23927000000549015 101013.46965499999350868),Treinta y Tres Orientales 587,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104499.54281499999342486 103263.20455900000524707),Tucuman 3450,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104279.35516000000643544 103349.62595699999656063),Tucuman 3637,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103969.74314700000104494 103450.76973299999372102),Tucuman 3893,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103951.47802399999636691 101286.55150499999581371),Venezuela 3852,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103540.41207799999392591 101248.65241100000275765),Venezuela 4222,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103798.45993700000690296 101699.92081500000494998),Yapeyu 183,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103823.32390000000305008 101365.83728500000142958),Yapeyu 413,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103876.44831500000145752 100962.22852299999794923),Yapeyu 737,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103150.1963019999966491 102660.85947700000542682),Yatay 573,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (103228.39130899999872781 101754.45867799999541603),Yatay 87,Almagro,5,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104981.49282100000709761 101699.69502400000055786),Moreno 3019,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104797.01566999999340624 101693.03728699999919627),Moreno 3191,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104635.21175800000492018 102552.99458800000138581),Sarmiento 3333,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
